Square Customer ID,Salesforce Contact ID,First Visit,Last Visit,Transaction Count, Total Spend ,Email Subscription Status
58FRS7ZHZ50SB4MEHNMTQQ1FS8,0033t00004B7RN6,12/28/2021,12/28/2021,2,,unknown
G2D3KHE6BX26QFGKA397RA9B9M,0033t00004B7RN3,12/2/2021,12/2/2021,1,,unknown
03FS1EEJ5S37N51PY50B9ZQWPW,0033t00004B7RMX,5/6/2022,5/6/2022,1,,unknown
Z6TH57TNQD4XD9M8KTT1E8F5VM,0033t00004B7RMs,2/25/2022,2/25/2022,1,,unknown
TPNPX2H0SN17Q09YTAXQMX12G8,0033t00004B7RMK,3/12/2022,3/12/2022,1,,unknown
RTMBM2DVDH64DCX1CFGPW51FJC,0033t00004B7RMi,4/12/2022,4/12/2022,1,,unknown
DHADB1B89D66N8F32N74BWQF9R,0033t00004B7RM2,6/1/2022,6/1/2022,1,$100.00 ,unknown
DPE922XGKX4QN5VYMK6F9X2SKG,0033t00004B7RLw,7/1/2022,7/1/2022,1,,unknown
NP5SPNNH255PPYZFZJS0MPV8AW,0033t00004B7RLv,3/7/2019,6/25/2022,2,$50.00 ,unknown
AQDJ5VP5QFBT037GAN6QDGWGF4,0033t00004B7RLT,10/6/2022,10/6/2022,1,,unknown
YVHYA020H2Q74SQK4BJ63FYFZG,0033t00004B7RLt,10/7/2022,11/15/2022,2,,unknown
HRE6WCKZ791W1EEZ5KEZV4W2SC,0033t00004B7RLL,4/15/2022,9/16/2022,2,,unknown
XQRFVE0CPD0W74XN73J4ZV6S04,0033t00004B7RLg,4/26/2022,6/18/2022,2,,unknown
3EG8EWY3ZX7WZ3E2ZGMCW984WW,0033t00004B7RKY,5/28/2020,6/11/2022,4,$149.00 ,unknown
K8JS4YQNKN747CJNFH7JS5C1S0,0033t00004B7RKY,2/11/2018,2/11/2018,1,$20.00 ,unknown
YEXPPZ777M1V05RD6THNDE4HEG,0033t00004B7RKw,10/11/2022,10/11/2022,1,,unknown
YJ244ARB2HJH6SHDTJ17D0NEQW,0033t00004B7RKV,1/5/2023,1/5/2023,1,,unknown
B9801437PHGX9WJNR2G9483ZAC,0033t00004B7RKQ,2/11/2023,2/11/2023,2,,unknown
RE8TY1PCMA0X7X0QHWS6PJMD00,0033t00004B7RK9,1/7/2023,1/7/2023,1,,unknown
VYXV36SA82GH7F7Q596EPBKP5W,0033t00004B7RJy,2/7/2023,2/7/2023,1,,unknown
0YKTHJA45H6815MZ329A5TRVWG,0033t00004B7RJV,2/19/2022,7/6/2022,3,$270.00 ,unknown
KR953W6B394VF6GBB9ZGHRX9M4,0033t00004B7RIY,7/6/2021,4/29/2022,2,$855.00 ,unknown
SDVWT4FVQN6NK7J9J8PRTN94G4,0033t00004B7RIs,4/5/2022,4/5/2022,1,$400.00 ,unknown
2P7MQNAJP6PDJWG76P9G89J3S8,0033t00004B7RIH,1/18/2023,1/18/2023,1,$20.00 ,unknown
VRT1AADMWN2FZ6WFYDY3ZR89Z8,0033t00004B7RHu,6/4/2022,6/4/2022,1,$150.00 ,unknown
J1X2Q45E1S5ANFXYREWWMM8PE4,0033t00004B7REV,6/23/2022,6/23/2022,2,$216.80 ,unknown
QBM4XF3NN97YNC89T0B3QA1KC0,0033t00004B7REQ,8/10/2021,2/3/2022,3,$450.00 ,unknown
S2CGHS11611VF9WMKDS7WBHNEG,0033t00004B7REM,6/15/2022,6/28/2022,2,$164.70 ,unknown
VNFF0J7P352XH5NKKT6350M088,0033t00004B7REI,4/17/2021,4/17/2021,1,,unknown
M3ABB5SFPX41B7FS8XJVXM0890,0033t00004B7RDV,9/17/2021,9/17/2021,1,$42.00 ,unknown
SXBPHQ1SDH7SSE10FG7GERC8RG,0033t00004B7RCY,8/29/2019,9/27/2022,3,$184.25 ,unknown
9BNJRK2VZ56JF62KEQ0PSTQY84,0033t00004B7RCp,7/9/2022,11/12/2022,6,$476.00 ,unknown
Z1JYCNM7BH2CS4WQWCFB3J3RMG,0033t00004B7RCo,12/5/2020,11/19/2022,3,$190.00 ,unknown
43Q4SGDT991Z103M1JBDF014CM,0033t00004B7RCb,11/8/2022,11/8/2022,1,$530.00 ,unknown
8T77VRW6W92HXEGGZFN24WV1XG,0033t00004B7RBv,2/6/2018,2/6/2018,1,$20.00 ,unknown
EFFNF2W1YN0V9EVJEGXMQ6YZBM,0033t00004B7RBV,1/21/2023,1/21/2023,1,$550.00 ,unknown
CQDBGAQM8ZKYEB0EDHXR5A8WTR,0033t00004B7RBn,12/22/2022,12/22/2022,1,$50.00 ,unsubscribed
0RH16YJ3KH3KF3X154JD8FCJXG,0033t00004B7RBK,7/7/2020,3/15/2022,9,$831.70 ,unknown
E54A4JPSVX3S4VKDBVGT15F9NM,0033t00004B7RBd,7/13/2018,7/13/2018,1,$25.00 ,unknown
A2X6P2RRZ1QDP2R8H67GQW2G48,0033t00004AejwB,10/7/2022,1/6/2023,8,,unknown
YCF9YPJ9N97HH3BY2NBE32PS88,0033t000049IXbq,3/17/2022,3/17/2022,1,$370.00 ,unknown
DN5Z8PA0QH28X6C0MWJ1MFCW0R,0033t000048hnuc,12/21/2021,12/21/2021,1,$20.00 ,unknown
NN5RMS2WP53CPHMD096DZ0VM2W,0033t000048hnBP,5/8/2019,1/28/2023,9,$502.25 ,unsubscribed
D94PJEK8E13RXAWYGFCWDCEG74,0033t000047cIuN,5/13/2021,5/13/2021,1,$75.00 ,unknown
2AGTK7ETDS6SND8HKMXAF7F3FC,0033t000047cAds,7/15/2021,7/15/2021,1,$164.00 ,unknown
09G8X6DKWKBB1VMXC9AT100X38,0033t00003yyTT9,1/17/2023,1/17/2023,1,$20.00 ,unknown
5CQ60BTJZS21DAZ81R2FSW5GZ0,0033t00003WQZUx,5/6/2021,5/6/2021,1,$35.00 ,unknown
RD3WQEXFKS4MD1685P51NTRQHC,0033t00003Wqwf8,5/13/2021,5/13/2021,1,$33.00 ,unknown
HAY0ZD4J6D4HS1TC418QH2QM8R,0033t00003WQUXJ,5/8/2021,5/8/2021,1,$46.00 ,unknown
XJ97RA5GTD2FH4BWB9Q0DHAS3M,0033t00003WQchc,5/4/2021,5/4/2021,1,$41.00 ,unknown
S4AZD6D3BH57X8NH84TWJB8PER,0033t00003Wq9FE,9/24/2021,11/12/2021,6,$805.89 ,unknown
Y5JRHX7TM12B136SRNSHMRRAY0,0033t00003WpoIY,7/8/2021,7/8/2021,1,,unknown
TT90KC7EHH29ZEJWSAN9V3KXRR,0033t00003WpKWH,1/19/2017,1/20/2023,6,$305.25 ,unknown
54JS73J3V532K8NBGMZYTE7N5C,0033t00003WpKPQ,5/8/2021,5/8/2021,1,$600.00 ,unknown
03NPS2XS3H1277MQE1C6J5Z5Z8,0033t00003TMe57,4/29/2021,4/29/2021,1,$56.00 ,unknown
8KZ1JJPHAX57F89EB0FWAGTKWR,0033t00003TLjLQ,4/27/2021,4/27/2021,1,$33.60 ,unknown
QC3J13Z49H4YQ4YBZVTS6TWM3W,0033t00003TLhOc,6/3/2021,6/3/2021,1,,unknown
00XTTNK92S4E98RPMYP804E8CW,0033t00003TLgi4,5/6/2021,5/6/2021,1,$69.00 ,unknown
68RTV5A97X6QV7G6CCPNQ9SJCR,0033t00003TKztb,4/27/2021,5/26/2022,2,$125.05 ,unknown
C14NKPA9GD1FZ37PVV8PHZ2ESM,0033t00003TKuBT,4/27/2021,4/27/2021,1,$41.00 ,unknown
3XH9BRV7CX7A9609G10V3KX4J4,0033t00003TK1hs,4/29/2021,5/22/2021,2,$15.00 ,unknown
2PK23YPNQ97PV1QZZSF01JJW24,0033t00003TJokR,4/20/2021,4/20/2021,1,$150.00 ,unknown
PJQYMC41YH72B3FK8B863NMTNM,0033t00003TJ0Nr,4/17/2021,9/11/2021,2,$714.00 ,unknown
EP2B14ENES0MV2K0GFX4MHJ5RG,0033t00003TIzVo,4/17/2021,4/19/2022,2,$182.40 ,unknown
E8GE3HZA510Z5EMFKZAJQ0GQER,0033t00003TIoAw,2/11/2021,2/11/2021,1,$95.00 ,unknown
NTNJVWE0QN3ZZ55RT5YQAWFJQG,0033t00003TIoAw,4/23/2021,10/14/2022,2,$499.00 ,unknown
HCCWPJT4A121X80WNFASPA6930,0033t00003tIMn5,2/1/2022,2/1/2022,1,$50.00 ,unknown
01ARAVHJW89QW5FKBF2B17XPPR,0033t00003snouG,2/9/2023,2/9/2023,1,$45.00 ,unsubscribed
ZJ93RMJRVN18EG5RFBWNYQBQCM,0033t00003snouG,1/30/2017,2/2/2022,3,$60.00 ,unsubscribed
ETZ7SY5C356A3212A36F7C4B94,0033t00003snmud,1/6/2022,8/10/2022,5,$331.55 ,unknown
9RT162D8VX1WQ23M66CAMNSXJC,0033t00003ScV8V,4/15/2021,4/15/2021,1,$60.00 ,unknown
5PF9K2FPYD799E3Y27SVYFW59W,0033t00003s5utV,12/17/2020,1/19/2023,8,$562.00 ,unknown
7CATP6ADT97HB66KQJN3MS5280,0033t00003s5jXf,6/2/2020,2/28/2023,29,"$3,632.06 ",unknown
Z5K8NRWB810JF3YN80ESN6FJH0,0033t00003rRzVN,12/30/2021,12/31/2021,2,$580.00 ,unknown
AAXGZKGAF14H7D0HAKX2Q2AN6C,0033t00003qnscl,2/13/2018,2/13/2018,1,$20.00 ,unknown
GXZRM8C9WD0H720AR628TR9PN0,0033t00003pgYOt,12/8/2020,12/8/2020,1,$56.00 ,unknown
C8AYX284GN6N9CRCTK1NYV9YEW,0033t00003pgYiZ,12/14/2021,12/18/2021,2,$800.00 ,unknown
HZVXFMAW2D6JDD7FN56FEFXADW,0033t00003pgwSV,5/15/2021,12/21/2021,2,$100.00 ,unknown
H0BSYXZ0AD0KN2ZAQ2HWFYA7WG,0033t00003pDdiT,11/10/2020,11/10/2020,1,$300.00 ,unknown
P3PMK068TD46DBCG6FA7Y5M0SC,0033t00003PD1Tc,4/8/2021,4/8/2021,1,$200.00 ,unknown
SJ0RW2Z7X92QB3PEECCCNY203C,0033t00003PD1Tc,4/13/2021,4/13/2021,1,$63.00 ,unknown
K3SMW2BD1S06Z58NVRH6RCS0B0,0033t00003PD15L,4/13/2021,6/24/2021,2,$76.25 ,unknown
3G66965XCD3KF1F065EJQD410R,0033t00003PCykJ,4/10/2021,4/10/2021,1,$23.00 ,unknown
CQBXTG9N0N4EZ6KP576WD97RRG,0033t00003PCyGO,4/20/2021,4/20/2021,1,$72.45 ,unknown
ZFZAY7DJ3S7C705H5WX7XFDW7C,0033t00003PCNkC,4/8/2021,4/22/2021,2,$79.05 ,unknown
0FXYK40X4179377678XAF8BD6G,0033t00003PBRpD,2/12/2018,12/23/2021,3,$309.95 ,unknown
6SYVW9RQ295P0HN33JWPC346DC,0033t00003PBORE,1/26/2017,2/10/2018,2,$60.00 ,unknown
XFM0DFDC7S486JHTR02Z59J1M8,0033t00003p0MCN,8/23/2018,8/23/2018,1,$75.00 ,unknown
C7X451W3G50VF9RT1FZB0DW8C4,0033t00003oY8Id,11/30/2021,1/27/2023,4,$140.52 ,unknown
2BN0T8E1PX0NQ4EGF11HZK4J14,0033t00003OQ6tG,4/1/2021,4/1/2021,1,$35.00 ,unknown
7E04FCHS0D3P34F5H807J41P68,0033t00003OPUkv,,,0, $-   ,unknown
H6VH9M5GAX78Q4SA3ZXRSSC1BW,0033t00003OOU7k,3/26/2021,3/26/2021,1,$331.00 ,unknown
2SQJ3NK5653DD9E0W61AGAN27M,0033t00003OOqpv,3/27/2021,3/27/2021,1,$800.00 ,unsubscribed
72ZQPNTVMD4K1CF4SVATFXKT8M,0033t00003OOcLo,3/27/2021,3/27/2021,1,$63.00 ,unknown
DD97M7XJAH6ZD4059M3KHBCWVM,0033t00003NZJjc,5/15/2021,5/15/2021,1,$90.00 ,unknown
3BX39KXCQN2KN76QX85CARJPCW,0033t00003NZHa5,5/14/2021,5/14/2021,1,$45.00 ,unknown
M777M4FGNH4RX9XM1EKPR5649M,0033t00003NZ2HK,2/8/2018,1/19/2022,2,$40.00 ,unknown
E83X3996NN0W1H9XAY4ZFP0K1C,0033t00003NZ2HK,1/17/2023,1/17/2023,1,$20.00 ,unknown
CXD9WGVJ997AV330XZPD9EP7V4,0033t00003nwnY6,11/11/2021,11/11/2021,1,$35.00 ,unknown
2V2V88X2KN1PF0GSD1ASK90ZTM,0033t00003nwnTL,12/9/2021,10/8/2022,2,$325.00 ,unknown
B9QDM585B52EQ9KBVPTW9VMCYC,0033t00003NCWJx,3/18/2021,3/18/2021,1,$78.00 ,unknown
9SS5V36YFN7MSDCT4Q4G7H7EA0,0033t00003NCUjI,3/19/2021,3/19/2021,1,$60.00 ,unknown
QCFRMFBXC96FZ91R8J3XTC0QNG,0033t00003NCJfe,3/16/2021,3/16/2021,1,$101.00 ,unknown
MSZN0NR4HS3790BCZCVXQQATFC,0033t00003NCIG2,4/5/2021,4/5/2021,1,$215.00 ,unknown
APFPVHG4KD10B95KYTT3D1MVZR,0033t00003NBrrw,3/5/2016,12/8/2022,5,$161.00 ,unknown
RN3ST70R8538302ZSV89WHVM98,0033t00003NBhi2,3/16/2021,3/16/2021,1,$10.00 ,unknown
ZYHGXZW3917AKBRN3G5KERGJ1C,0033t00003NAAT5,4/9/2022,4/9/2022,1,$350.00 ,unknown
R5JRXX48HD21BCM6V0M7P0HERG,0033t00003n55YA,3/10/2022,7/8/2022,2,,unknown
P36G5YYDZ15FXAD2YM3P2CQ4T0,0033t00003n55Ez,11/4/2021,11/4/2021,1,$225.00 ,unknown
E5TVFX0MR11HX94QK2EBH44RF0,0033t00003n45yb,11/13/2021,11/13/2021,1,$75.00 ,unknown
J6C2KZ922H1RH2A54YB2X2AFQW,0033t00003n45QP,10/30/2021,10/30/2021,1,$35.00 ,unknown
RKH4JRKGYN78V2C8Y0RBH3XEEC,0033t00003n45n4,10/19/2021,10/19/2021,1,$51.00 ,unknown
PMB26SF7P13HZ0WK516RKRPYAG,0033t00003n458v,10/12/2021,10/12/2021,1,$50.00 ,unknown
A3AFD6CVSDEFRKY808J6TZH7V4,0033t00003LxRSC,,,0, $-   ,unknown
R1EPG4VN5S7GQDE9PHX0TKYE80,0033t00003LxcUE,4/16/2021,4/16/2021,1,,unknown
XX6ZT0V7S95Z16RWHGHJZABYZ4,0033t00003LwOL1,1/14/2021,1/19/2022,3,$161.25 ,unknown
QCWYFHBYWS6FZ4TJ9MH57XVHT4,0033t00003LwOL0,2/7/2018,2/7/2018,1,$20.00 ,unknown
E8QMTQAWBS4THARW6QK8PXVG60,0033t00003LwOKX,2/9/2018,2/9/2018,1,$20.00 ,unknown
6SN7P9PHKN2RF2SKDXTNSEGWZ8,0033t00003LwOKU,2/9/2017,1/19/2023,3,$210.00 ,unknown
BKRYTY4T4NVTKQ9E06E42R1Y50,0033t00003LwOKT,1/31/2023,1/31/2023,1,$20.00 ,unknown
7CNBXEQ0J525S2G8T2JR9KFDGM,0033t00003LwOKs,2/7/2018,2/7/2018,1,$20.00 ,unknown
3D95B5BK257KN1D3J6YQMXS14R,0033t00003LwOKo,1/17/2017,1/31/2023,6,$130.00 ,unknown
D0PFHT2MN9ZMTJWB655CSHYFZ0,0033t00003LwOKO,1/31/2023,1/31/2023,1,$40.00 ,unknown
ZZ7907WMQTBVZZ29Z9C9C3J7QW,0033t00003LwOKn,1/17/2023,1/17/2023,1,$40.00 ,unknown
2K0E98SD3FZHMG2SBCSTCZ59XC,0033t00003LwOKM,1/17/2023,1/17/2023,1,$25.00 ,unknown
62XX3WX6CBMA773FF7VC6RBZ94,0033t00003LwOKl,1/18/2023,1/18/2023,1,$20.00 ,unknown
70WPWWDTTYZ5JMJ33G0MKV965G,0033t00003LwOKK,1/23/2023,1/23/2023,1,$20.00 ,unknown
TD5DD79CZ91WX0VW3REYMPRAMC,0033t00003LwOKj,2/9/2023,2/9/2023,4,$80.00 ,unknown
GYDRS0EAWN61B9HX81H812VPPG,0033t00003LwOKd,10/6/2020,1/27/2023,5,$160.00 ,unknown
TYXBEXH6Y4YKY5RXAQTP71TRWR,0033t00003l2rpr,1/18/2023,1/18/2023,1,$20.00 ,unknown
GW2V4WAN6X36XAK1Y3R3P45HM8,0033t00003l2jnE,3/1/2022,3/1/2022,1,,unknown
S387QGRGW913D3GFJ8A60FZYXG,0033t00003KtwMp,11/1/2022,11/1/2022,1,$10.00 ,unknown
DGKR1W02PH22BAHBFNP70FK1M4,0033t00003KtD3G,8/6/2021,7/5/2022,2,"$1,720.00 ",unknown
9WCA4JM3S96RD9G43T8EWPM0GC,0033t00003Kt0zx,7/24/2020,7/27/2022,13,$709.00 ,unknown
5CMXEJQHES2Y909HK6B75GAK6R,0033t00003KqfRL,11/27/2020,11/27/2020,1,$350.00 ,unknown
NKK01XXK1N6FQ9S1MC9GZNDJ9G,0033t00003kDe5J,9/5/2018,2/7/2023,13,$436.00 ,unknown
ABKEGDR3P1155CR708VN4FRPBM,0033t00003k9XHM,9/11/2021,9/11/2021,1,$720.00 ,unknown
EVAA29F7QD59S04DAZCCTHZTCM,0033t00003k9XHb,6/3/2021,6/3/2021,1,$101.00 ,unknown
XECSWP88HD27Z5CABHW2RNX7N0,0033t00003k9XGi,9/10/2021,9/10/2021,1,$100.00 ,unknown
2SV4HARY2D6AD77G2PY2V9SVQ0,0033t00003jNbwY,1/9/2021,1/9/2021,1,$150.00 ,unknown
JWPYYVX24S5NHE7PCFPAT2RNHM,0033t00003jMGCx,7/16/2022,1/18/2023,2,$190.00 ,unknown
VP93RAKD4D6NKFEPNXJ8J3YWCR,0033t00003JeOow,1/21/2020,1/29/2022,6,$443.45 ,unknown
PMMXYY0R4H1V58QSG7FQ1QMA18,0033t00003JefCW,12/5/2020,5/11/2021,7,$323.45 ,unknown
BQFW3M1QNN0TQFBQNMHGMGXH88,0033t00003JdA7v,9/30/2021,9/30/2021,1,,unknown
F3P416S5S920Q7B4XS7HBQ9Q48,0033t00003Jd6Vn,1/21/2021,3/5/2021,2,$320.00 ,unknown
129BC4B5S8Z0YQHSY26YZWMZ3C,0033t00003iZaAW,2/3/2023,2/3/2023,1,$25.00 ,unknown
2DGZ46P3C54X8GZQHJ9AHQ4X40,0033t00003iZaAW,2/4/2017,2/12/2018,2,$40.00 ,unknown
KP7BNW7B0H5G944WDE6ER8YQZW,0033t00003iZ2s0,1/6/2022,1/6/2022,1,,unknown
ZZG23XZJG97813PVNYKBP6VY5M,0033t00003iYBXa,8/21/2021,8/21/2021,1,$345.00 ,unknown
M8DDQARSQM3A3ZF66MH25GRA98,0033t00003hASOI,1/17/2023,1/28/2023,3,$358.00 ,unknown
8256ZHVZV165Z8J2ZBHKNQHT5R,0033t00003hAGHy,4/30/2022,4/30/2022,1,$25.00 ,unknown
SXYRMM6NTX7SD25VRT2GFJXE4G,0033t00003h9HMZ,9/9/2021,9/9/2021,1,,unknown
QVMEEW9HKX2734HWVA9TQPDJ8C,0033t00003h8y5a,8/3/2021,8/3/2021,1,$22.00 ,unknown
FA453YZ7753HDBWJCC7XS74700,0033t00003h8SNm,5/6/2022,5/6/2022,1,$200.00 ,unknown
BAEFJ9RTB94SSA1WQCVHNFR0N4,0033t00003h8SLg,7/10/2021,7/24/2021,2,$500.00 ,unknown
K7B884EGFS19Q5ZXX87RXW2EDM,0033t00003h8RTI,8/6/2021,8/6/2021,1,$40.00 ,unknown
W52GCGJJJ936S9EZ2V110PFNAR,0033t00003gk5SZ,8/3/2021,8/3/2021,1,$22.00 ,unknown
TY73Y3PPVD6Z3FFRYT2CKGSJZC,0033t00003gj6ic,8/7/2021,9/17/2022,5,$169.00 ,unknown
3RZB0DQZJN7HB6CT3XMXHAFBE4,0033t00003gj1iT,5/11/2021,5/11/2021,1,$5.00 ,unknown
DMBE9KY5CD1CS7Y1BBAE8BG42W,0033t00003gj0q9,1/19/2022,1/13/2023,2,$70.00 ,unknown
A180X3G3X95QS415G5WQ3YEKVM,0033t00003giXM3,7/20/2021,7/20/2021,1,$25.00 ,unknown
DT8BF22C1555Q001698T0CGKQR,0033t00003gHWsQ,7/30/2021,8/10/2021,2,,unknown
GE7H2ADHS17G5478M1JXE5BKQR,0033t00003fyoba,7/3/2021,7/3/2021,1,$200.00 ,unknown
N707DFP7TH4B5FC6HG7VBKRQ5R,0033t00003fjPyt,11/5/2021,7/27/2022,8,$970.40 ,unknown
ZB8F0JDQPS7N5C2AZCTMQ58AJC,0033t00003eb3RV,10/2/2020,2/18/2023,9,$291.00 ,unsubscribed
MG9DV7GPGH7QB4MXB9E41X3XDM,0033t00003eb1ym,2/25/2022,2/25/2022,1,,unknown
M2MGYSGBM13G702CPEH43VTNXW,0033t00003eavCh,6/29/2021,10/19/2021,2,$40.00 ,unknown
